run,lda,qda,knn,svc,dnn,fcm_d_0,fcm_d_1,fcm_d_2,fcm_d_3,fcm_d_4,fcm_d_5,fcm_d_6,fcm_d_7,fcm_d_8,fcm_d_9,gmm_best_fid,gmm_best_threshold
run0,0.12977967100960294,0.1311602019272025,0.12856058887162564,0.1314831001796517,0.1105414778883929,0.13092486843866308,0.1309105596143938,0.13187763461448793,0.13205274331345093,0.13207472330148617,0.1320712388274743,0.13314287930973698,0.1350350604059748,0.1363116764316948,0.1770982776417276,0.1321609637474993,0.8
run1,0.12805997944787498,0.1292686509967145,0.12496864786865082,0.12916430332167225,0.0871664907753073,0.12910759957901136,0.12921085224173523,0.12957148008374897,0.12807323429522102,0.12856279781075963,0.1274511697921808,0.127732775460046,0.12782251321682697,0.1297158282520792,0.09305867619883147,0.1309680131246351,0.8
run2,0.13516560528351612,0.13662314096933123,0.13284339067561277,0.13597001244903165,0.10195511051897874,0.13580825928587778,0.1365589922822225,0.13627644264854585,0.13635516523834262,0.13708095100355025,0.1372266327444243,0.13724585843210074,0.14024035309517704,0.14307311281653282,0.18297785633282812,0.13825173703891294,0.9
run3,0.13739487709000803,0.137449236576531,0.1353031966221345,0.13760970113543472,0.08032226562500003,0.1373825624414874,0.1383568810472426,0.13744793163637337,0.137345994750704,0.1379407857922324,0.13586135204555094,0.13616153925681795,0.13474397298550983,0.13062517554799755,0.12306946872341815,0.13983510542576752,0.9
run4,0.12742072061869653,0.12828269105676687,0.12519000133612865,0.12842248965121353,0.12615270587258268,0.12772332468192707,0.1286406915801895,0.12821719542272658,0.12754486821948233,0.12682834327163234,0.12788715624298655,0.12953207997577937,0.12979271781843488,0.13881879171642145,0.1156149494594564,0.12899727810520958,0.7
run5,0.13605625402309993,0.13757817860991142,0.13388979279820298,0.13751444543423527,0.09341988482382887,0.1368873780392603,0.13731629650157562,0.136778890464278,0.13693288179165541,0.1386648258509175,0.13858389894271622,0.1384845369054147,0.1395666589984495,0.1423732401719127,0.1473097260953319,0.1383554972733194,0.7
run6,0.1404758536372337,0.14204041841956438,0.13882629816903908,0.14108213185216878,0.1442027443315732,0.14122804889496815,0.14216082325193005,0.1425091038110988,0.14216301569959844,0.14265784147170343,0.14224614149987289,0.1435607204726321,0.14587698102322158,0.14868983729986632,0.1410362354657608,0.14391229424960103,0.9
run7,0.13430808219115167,0.1344487102651427,0.13227301688987864,0.13484771809098514,0.12474681177860075,0.13498296979333924,0.13459360832791087,0.13528494136326613,0.13405725476567942,0.13538669030643108,0.13615562200199724,0.1359207457929918,0.13768039249066208,0.13916133681799228,0.15320032237909686,0.13746364058358865,0.8
run8,0.1377794853988912,0.13885148864072203,0.13571396544097641,0.13878050468189315,0.12865208119001562,0.13827443737929615,0.1395097664563799,0.13971091767916533,0.13973314477872417,0.14140257435038653,0.14023478086996374,0.14135844322229169,0.14872233657737846,0.1565249854312334,0.1435325536313488,0.13976784466864894,0.8
run9,0.1371738490758831,0.13821093806278023,0.13502668336060575,0.13829139600464563,0.04984451404650016,0.13804999980685834,0.13893400465254718,0.1394953375469014,0.1391690428789864,0.13727168266469555,0.137340333507469,0.1373212488519523,0.13948208190491948,0.13347572498194596,0.13318440764919545,0.1403540144889743,0.7
