run,lda,qda,knn,svc,dnn,fcm_d_0,fcm_d_1,fcm_d_2,fcm_d_3,fcm_d_4,fcm_d_5,fcm_d_6,fcm_d_7,fcm_d_8,fcm_d_9,gmm_best_fid,gmm_best_threshold
run0,0.9771959623033197,0.9770715568670685,0.9760900366252023,0.97781335388227,0.9743138795323951,0.9775691292998754,0.979887661756855,0.9819616900613587,0.9836645645945917,0.9849405104920433,0.9866760139387583,0.9879934535990254,0.9896408865795542,0.9899896663630323,0.9912552305587932,0.9827960007121057,0.9
run1,0.9787232101538973,0.9786003853228834,0.9779861440457778,0.9793372173495069,0.971398715770073,0.9787246870417732,0.9833355870623883,0.9856589534730872,0.987120652903533,0.9879294920370887,0.9899422899998095,0.9905569474149728,0.9916619213410321,0.9919100236830881,0.9921404534950319,0.9859359264300873,0.9
run2,0.9750290518197275,0.9750290518197275,0.9750139664142558,0.97515615463552,0.9737017419826629,0.9755173674111078,0.978557821511824,0.9804658471340806,0.9823588162643337,0.9852315934239971,0.9862775481318239,0.9883414691607084,0.9893470071123084,0.9896020296291236,0.9911498797597971,0.9821950696782072,0.9
run3,0.9760740813521801,0.9761961936592829,0.9744868421259685,0.9754630079131755,0.9609950615982162,0.9760738370892938,0.9790848035537305,0.982084448551257,0.9842180601930718,0.98583186958178,0.9872621207006056,0.988857724920439,0.9897314393347031,0.9903955820948782,0.9921985123303512,0.9824056908095224,0.9
run4,0.9774289154725064,0.9774289154725064,0.9749872333788693,0.9768273857296016,0.9628631254961884,0.9768273857296016,0.980331568030093,0.9833819187699822,0.9847303822859627,0.9859035013485244,0.9873547480631125,0.987872680664334,0.9894185338371657,0.9911507909139433,0.990821828591859,0.9835340939151385,0.9
run5,0.9809451218066312,0.9805775957236602,0.9782558864222821,0.9813141274486448,0.9636224901820953,0.9814358231115684,0.9844493405465075,0.986195652590651,0.9880425376693405,0.9888803309291408,0.9903453896424289,0.991252490506575,0.9924330036995471,0.9945486294809562,0.9951123910009247,0.9871318751884717,0.9
run6,0.9760896147626614,0.9759647929615147,0.9735113203021104,0.9757205332666812,0.9676372538050932,0.9761982095318585,0.979135206808648,0.9813303165157294,0.9839332194749694,0.9853806796585419,0.9867462490741329,0.9888043814152937,0.9903731079390556,0.9903210445098414,0.9881524974258377,0.9825606480126987,0.9
run7,0.977846292088224,0.9777225338137056,0.9767356261187256,0.9777291494627357,0.9673691801777856,0.9777291494627357,0.9817291446738121,0.983443386199721,0.984278116769739,0.9853275428038175,0.9866701904275672,0.9881802274099595,0.9895891587232848,0.9910631497690988,0.9902999190079667,0.983067388646839,0.9
run8,0.9769649859216892,0.9769626825860593,0.9750022737575548,0.9764833920292353,0.9757063734850077,0.9764833920292353,0.9794962963306427,0.9820428511072301,0.9836207853541665,0.9852341844743493,0.9864229876518984,0.9885214549398378,0.9902999470007784,0.9909044486172208,0.9922137783221494,0.9831639078063925,0.9
run9,0.9773545807837523,0.9774749931109736,0.9763606607978474,0.9768728592793832,0.9723668309047615,0.9772374859800725,0.9800602296796103,0.9836735790269634,0.9856533545089793,0.9874967357302898,0.9888736070449805,0.9906048301187679,0.9922797829456523,0.9927267831012975,0.993554789095128,0.984064949766443,0.9
