run,lda,qda,knn,svc,dnn,fcm_d_0,fcm_d_1,fcm_d_2,fcm_d_3,fcm_d_4,fcm_d_5,fcm_d_6,fcm_d_7,fcm_d_8,fcm_d_9,gmm_best_fid,gmm_best_threshold
run0,0.7832665954666326,0.7836252126905335,0.7780095005270529,0.7837610736977509,0.7702227345517144,0.7821710097046367,0.7948325844406054,0.8043324226941048,0.8103635306343194,0.8157428290994306,0.8251085613987891,0.8294804962785669,0.8390779248039566,0.8441228696927886,0.8491878520300815,0.809307379271153,0.9
run1,0.7836904745595913,0.7830796798479734,0.7799068396592203,0.7833243915917592,0.6656508522376021,0.783568266228129,0.7961869882643108,0.8017840530483313,0.8086681978320507,0.8128429398264103,0.8209959694213462,0.8233959688485324,0.8285852458540034,0.8301442162123402,0.8437319151216293,0.8090927967918078,0.9
run2,0.7859268963993085,0.7869010252018784,0.7805829470014694,0.7855716161109416,0.7610988230230108,0.7856925170324178,0.7992444397057137,0.8082795606453022,0.8162287781080891,0.8206821021808203,0.8270494997147353,0.8303232466241468,0.8313073642860578,0.841711744522212,0.8311532333852985,0.8154775675842195,0.9
run3,0.7877193434964795,0.7874752027527175,0.7833243915917592,0.7868650639385977,0.668670161717404,0.7866207906578596,0.7988904100582161,0.8087309857727836,0.813999872772194,0.8200752356631708,0.8224627151420387,0.826802270283528,0.8342216885358101,0.8303782882750786,0.8263888540520521,0.8157417050714277,0.9
run4,0.7866210179769867,0.7862548401703298,0.7807616424083337,0.7869872620850155,0.7674659778696548,0.7867430456855304,0.7975760028806073,0.8033179340573167,0.8085601316760639,0.8130088635311516,0.8177760511844822,0.8240474689820729,0.8255269240342475,0.8191563883292302,0.8110236220472441,0.8095567947097895,0.9
run5,0.7788874989776992,0.7790104799176778,0.7730201628349106,0.7793827670398188,0.7681165507792417,0.7791369319808641,0.7895626052516782,0.798799642077105,0.8051373716182009,0.8102667797538438,0.8157923601291859,0.8221662891670555,0.8275441901785511,0.8329476485639274,0.8522945543061181,0.8066823996612573,0.9
run6,0.7894977635421274,0.7894957438588813,0.78498383265724,0.7903590772574779,0.7467641184664714,0.789128482900887,0.8006995170197876,0.809173443263841,0.8165716223214691,0.8210022294578951,0.8260605567051426,0.8346838769988204,0.8397017991056702,0.8430823820732677,0.8396211255801029,0.8148338884494151,0.9
run7,0.787542482355239,0.7882686601400325,0.7822856545846514,0.7875383194020619,0.7342436393977376,0.7874234268015858,0.7989048517563033,0.8052386246540497,0.809883753103058,0.814059947950231,0.8201206247597203,0.8263836483891527,0.8311212133142986,0.8401151205040265,0.8471023986799591,0.8113451059928721,0.9
run8,0.7869827556628217,0.7864960630839193,0.7817379762647154,0.7862483964114569,0.7489419423228696,0.7858838178530964,0.7975421995147791,0.8041984013967661,0.8118239208956993,0.8168223564052906,0.8227646005462674,0.8272865083148372,0.8382905496662728,0.8425695307411454,0.8318997619282498,0.8117679431180801,0.9
run9,0.7884463604970081,0.7890576655025578,0.7835621046452894,0.7880804730382701,0.7683529160512007,0.7896683180084811,0.7983017777678767,0.8060890070005106,0.8136081874502411,0.8208652789574683,0.8228299079519841,0.8264368592989288,0.827596789521972,0.8322745788769333,0.8130081300813009,0.8134057284565444,0.9
